Species,Official_Waterbody_Name,Number_of_Fish_Stocked,Latitude,Longitude
Brook Trout,Craigs Creek,500,45.2284912,-76.6088201
Brook Trout,Craigs Creek,500,45.2284912,-76.6088201
Brook Trout,Craigs Creek,500,45.2284912,-76.6088201
Brook Trout,Craigs Creek,500,45.2284912,-76.6088201
Brook Trout,Craigs Creek,500,45.2284912,-76.6088201
Brook Trout,Craigs Creek,750,45.2284912,-76.6088201
Brook Trout,Craigs Creek,500,45.2284912,-76.6088201
Brook Trout,Coniston Creek,3000,46.4736954,-80.8215616
Brook Trout,Coniston Creek,2000,46.4736954,-80.8215616
Brook Trout,Coniston Creek,1000,46.4736954,-80.8215616
Brook Trout,Coniston Creek,1000,46.4736954,-80.8215616
Brook Trout,Coniston Creek,1000,46.4736954,-80.8215616
Brook Trout,Coniston Creek,1000,46.4736954,-80.8215616
Brown Trout,Carroll Creek,200,43.6448034,-80.4509125
Brown Trout,Carroll Creek,600,43.6448034,-80.4509125
Brown Trout,Carroll Creek,500,43.6448034,-80.4509125
Brown Trout,Carroll Creek,229,43.6448034,-80.4509125
Brown Trout,Carroll Creek,200,43.6448034,-80.4509125
Brown Trout,Carroll Creek,300,43.6448034,-80.4509125
Brown Trout,Carroll Creek,600,43.6448034,-80.4509125
Chinook Salmon,Bronte Creek,25082,43.3932775,-79.7092189
Chinook Salmon,Bronte Creek,25051,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,8491,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,12006,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,3545,43.3932775,-79.7092189
Chinook Salmon,Bronte Creek,24994,43.3932775,-79.7092189
Chinook Salmon,Bronte Creek,24999,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,12000,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,11945,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,11975,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,14994,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,14980,43.3932775,-79.7092189
Brown Trout,Bronte Creek,14728,43.3932775,-79.7092189
Chinook Salmon,Bronte Creek,30022,43.3932775,-79.7092189
Chinook Salmon,Bronte Creek,30015,43.3932775,-79.7092189
Brown Trout,Bronte Creek,15313,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,3500,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,3500,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,12050,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,12000,43.3932775,-79.7092189
Chinook Salmon,Bronte Creek,51146,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,14999,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,15004,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,15000,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,15000,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,15028,43.3932775,-79.7092189
Rainbow Trout,Bronte Creek,15002,43.3932775,-79.7092189
Chinook Salmon,Bowmanville Creek,12484,43.8877956,-78.6642561
Brown Trout,Bowmanville Creek,24987,43.8877956,-78.6642561
Chinook Salmon,Bowmanville Creek,30014,43.8877956,-78.6642561
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,402,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brook Trout,Bon Echo Creek,500,44.8937315,-77.1935032
Brown Trout,Wye River,9426,44.7460841,-79.853885
Brown Trout,Wye River,8991,44.7460841,-79.853885
Brown Trout,Wye River,10324,44.7460841,-79.853885
Rainbow Trout,Sydenham River,3665,44.5791365,-80.9404356
Rainbow Trout,Sydenham River,4225,44.5791365,-80.9404356
Rainbow Trout,Seguin River,1300,45.33929,-80.03412
Brown Trout,Saugeen River,20009,44.501018,-81.3736663
Brown Trout,Saugeen River,682,44.501018,-81.3736663
Brown Trout,Saugeen River,18003,44.501018,-81.3736663
Brown Trout,Saugeen River,2603,44.501018,-81.3736663
Brown Trout,Saugeen River,2084,44.501018,-81.3736663
Brown Trout,Saugeen River,1361,44.501018,-81.3736663
Brown Trout,Saugeen River,1506,44.501018,-81.3736663
Brown Trout,Saugeen River,1426,44.501018,-81.3736663
Brown Trout,Saugeen River,1211,44.501018,-81.3736663
Brown Trout,Saugeen River,18734,44.501018,-81.3736663
Brown Trout,Saugeen River,10824,44.501018,-81.3736663
Brown Trout,Saugeen River,22072,44.501018,-81.3736663
Brown Trout,Saugeen River,3042,44.501018,-81.3736663
Brown Trout,Saugeen River,100,44.501018,-81.3736663
Brook Trout,Pretty River,3521,44.5023729,-80.1918275
Brook Trout,Pretty River,19575,44.5023729,-80.1918275
Brook Trout,Pretty River,8125,44.5023729,-80.1918275
Brook Trout,Pretty River,11506,44.5023729,-80.1918275
Brook Trout,Pretty River,5310,44.5023729,-80.1918275
Rainbow Trout,Mississagi River,2222,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2500,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2222,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2500,46.1763031,-83.0183272
